County,"Total Population, 1960","Total Population, 1970","Total Population, 1980","Total Population, 1990","Total Population, 2000","Total Population, 2010",Location
"Androscoggin County, Maine",86312,91279,99509,105259,103793,107702,"(44.1970089, -70.2376963)"
"Aroostook County, Maine",106064,94078,91344,86936,73938,71870,"(46.7270816, -68.6494264)"
"Cumberland County, Maine",182751,192528,215789,243135,265612,281674,"(43.8491436, -70.3617521)"
"Franklin County, Maine",20069,22444,27447,29008,29467,30768,"(45.0633843, -70.3617521)"
"Hancock County, Maine",32293,34590,41781,46948,51791,54418,"(44.6682975, -68.4046119)"
"Kennebec County, Maine",89150,95306,109889,115904,117114,122151,"(44.4140565, -69.7526525)"
"Knox County, Maine",28575,29013,32941,36310,39618,39736,"(44.119938, -69.127896)"
"Lincoln County, Maine",18497,20537,25691,30357,33616,34457,"(44.046964, -69.5426736)"
"Oxford County, Maine",44345,43457,49043,52602,54755,57833,"(44.5661559, -70.661557)"
"Penobscot County, Maine",126346,125393,137015,146601,144919,153923,"(45.5198669, -68.6474165)"
"Piscataquis County, Maine",17379,16285,17634,18653,17235,17535,"(45.7923653, -69.30463)"
"Sagadahoc County, Maine",22793,23452,28795,33535,35214,35293,"(43.9166939, -69.8439936)"
"Somerset County, Maine",39749,40597,45049,49767,50888,52228,"(45.5757509, -69.9097735)"
"Waldo County, Maine",22632,23328,28414,33018,36280,38786,"(44.4793511, -69.1535898)"
"Washington County, Maine",32908,29859,34963,35308,33941,32856,"(45.0274887, -67.525739)"
"York County, Maine",99402,111576,139739,164587,186742,197131,"(43.3944474, -70.6482221)"
